Age,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,Attrition_Probability,Risk_Level
26,Research & Development,Laboratory Technician,2340,1,Yes,4,0.94,HIGH
29,Research & Development,Research Scientist,2439,1,Yes,4,0.93,HIGH
29,Sales,Sales Representative,1091,1,No,1,0.9,HIGH
31,Sales,Sales Representative,1359,1,No,3,0.9,HIGH
21,Research & Development,Laboratory Technician,1416,1,No,1,0.9,HIGH
19,Sales,Sales Representative,1675,0,Yes,3,0.895,HIGH
28,Research & Development,Laboratory Technician,2408,1,Yes,2,0.885,HIGH
30,Sales,Sales Representative,1081,1,No,4,0.88,HIGH
18,Research & Development,Laboratory Technician,1420,0,No,3,0.88,HIGH
32,Research & Development,Laboratory Technician,2795,1,Yes,4,0.875,HIGH
20,Research & Development,Laboratory Technician,2926,1,Yes,4,0.875,HIGH
27,Human Resources,Human Resources,2863,1,No,2,0.875,HIGH
22,Research & Development,Research Scientist,2472,1,Yes,2,0.875,HIGH
26,Research & Development,Laboratory Technician,2293,1,No,3,0.87,HIGH
19,Research & Development,Research Scientist,1859,1,Yes,2,0.87,HIGH
18,Sales,Sales Representative,1569,0,Yes,4,0.87,HIGH
18,Sales,Sales Representative,1878,0,Yes,2,0.87,HIGH
19,Human Resources,Human Resources,2564,1,No,4,0.87,HIGH
33,Sales,Sales Representative,2851,1,Yes,3,0.86,HIGH
30,Research & Development,Research Scientist,2285,1,Yes,4,0.855,HIGH
25,Sales,Sales Representative,2413,1,Yes,2,0.855,HIGH
19,Sales,Sales Representative,2325,0,No,1,0.85,HIGH
20,Research & Development,Laboratory Technician,2973,1,No,1,0.84,HIGH
18,Research & Development,Laboratory Technician,1904,0,No,3,0.835,HIGH
24,Research & Development,Laboratory Technician,3172,0,Yes,1,0.835,HIGH
21,Sales,Sales Representative,2679,1,No,2,0.83,HIGH
20,Research & Development,Research Scientist,2600,1,Yes,1,0.83,HIGH
33,Research & Development,Research Scientist,2313,2,Yes,2,0.825,HIGH
29,Research & Development,Laboratory Technician,2319,1,Yes,1,0.825,HIGH
23,Sales,Sales Representative,1790,1,No,1,0.82,HIGH
30,Sales,Sales Representative,2033,1,No,1,0.815,HIGH
20,Sales,Sales Representative,2323,2,Yes,4,0.815,HIGH
23,Research & Development,Laboratory Technician,1601,0,Yes,1,0.81,HIGH
31,Sales,Sales Representative,2785,1,No,4,0.805,HIGH
19,Research & Development,Laboratory Technician,1102,1,No,4,0.805,HIGH
28,Sales,Sales Executive,9854,2,Yes,3,0.805,HIGH
29,Sales,Sales Executive,5765,5,No,2,0.8,HIGH
21,Sales,Sales Representative,2716,1,No,2,0.8,HIGH
24,Research & Development,Laboratory Technician,2210,1,No,2,0.795,HIGH
28,Research & Development,Laboratory Technician,2028,4,Yes,3,0.795,HIGH
32,Research & Development,Laboratory Technician,1393,1,No,2,0.795,HIGH
22,Research & Development,Laboratory Technician,2398,1,Yes,1,0.795,HIGH
29,Sales,Sales Representative,2760,2,No,2,0.795,HIGH
40,Research & Development,Laboratory Technician,2166,4,Yes,1,0.79,HIGH
20,Research & Development,Research Scientist,1009,1,Yes,3,0.79,HIGH
26,Research & Development,Laboratory Technician,2377,1,No,3,0.785,HIGH
31,Research & Development,Research Scientist,1261,1,No,2,0.785,HIGH
39,Research & Development,Laboratory Technician,3646,1,Yes,1,0.78,HIGH
24,Human Resources,Human Resources,1555,1,No,3,0.775,HIGH
32,Sales,Sales Executive,9907,2,Yes,2,0.775,HIGH
33,Sales,Sales Executive,5324,3,No,1,0.775,HIGH
29,Human Resources,Human Resources,2335,2,Yes,1,0.77,HIGH
21,Research & Development,Laboratory Technician,2625,2,No,3,0.77,HIGH
39,Research & Development,Laboratory Technician,2404,2,Yes,1,0.77,HIGH
28,Research & Development,Laboratory Technician,3485,0,No,3,0.77,HIGH
33,Sales,Sales Executive,8564,0,Yes,1,0.77,HIGH
30,Sales,Sales Executive,6696,6,No,1,0.765,HIGH
53,Sales,Sales Executive,10448,2,Yes,1,0.765,HIGH
25,Sales,Sales Representative,1118,1,Yes,4,0.765,HIGH
28,Research & Development,Laboratory Technician,2561,0,No,1,0.765,HIGH
55,Sales,Sales Executive,13695,19,Yes,3,0.765,HIGH
37,Human Resources,Human Resources,2073,3,Yes,1,0.765,HIGH
32,Research & Development,Laboratory Technician,4200,5,No,1,0.765,HIGH
31,Human Resources,Human Resources,2956,1,No,1,0.76,HIGH
28,Research & Development,Laboratory Technician,3441,2,Yes,3,0.76,HIGH
26,Research & Development,Laboratory Technician,2373,3,Yes,2,0.76,HIGH
40,Sales,Sales Executive,13194,1,Yes,2,0.76,HIGH
31,Research & Development,Healthcare Representative,9824,1,No,3,0.76,HIGH
43,Sales,Sales Executive,5346,4,No,3,0.76,HIGH
50,Sales,Sales Executive,10854,3,Yes,1,0.755,HIGH
27,Research & Development,Research Scientist,2394,8,Yes,3,0.755,HIGH
30,Research & Development,Research Scientist,2132,5,Yes,3,0.755,HIGH
24,Sales,Sales Representative,3202,5,Yes,2,0.75,HIGH
35,Research & Development,Manufacturing Director,5916,1,Yes,3,0.75,HIGH
47,Sales,Sales Executive,12936,23,No,3,0.75,HIGH
28,Research & Development,Laboratory Technician,2515,1,Yes,4,0.75,HIGH
32,Research & Development,Research Scientist,3919,10,Yes,1,0.75,HIGH
26,Sales,Sales Executive,5326,4,No,1,0.75,HIGH
32,Research & Development,Research Scientist,2432,4,Yes,3,0.745,HIGH
34,Research & Development,Research Scientist,2307,5,Yes,1,0.745,HIGH
35,Sales,Sales Executive,9582,8,Yes,1,0.74,HIGH
28,Research & Development,Research Scientist,2216,7,Yes,2,0.74,HIGH
47,Sales,Sales Executive,6397,5,Yes,3,0.74,HIGH
24,Research & Development,Laboratory Technician,2886,6,Yes,3,0.74,HIGH
19,Sales,Sales Representative,2121,1,Yes,2,0.74,HIGH
31,Sales,Sales Representative,2302,3,Yes,2,0.74,HIGH
29,Research & Development,Research Scientist,2362,9,No,1,0.74,HIGH
29,Research & Development,Laboratory Technician,2119,7,Yes,1,0.735,HIGH
22,Research & Development,Laboratory Technician,3894,2,No,3,0.735,HIGH
44,Research & Development,Research Scientist,2936,6,Yes,3,0.735,HIGH
52,Sales,Sales Executive,8446,8,Yes,2,0.735,HIGH
58,Research & Development,Laboratory Technician,2380,1,Yes,4,0.735,HIGH
24,Research & Development,Research Scientist,2293,2,Yes,4,0.73,HIGH
39,Sales,Sales Representative,2086,1,No,4,0.73,HIGH
26,Sales,Sales Executive,4969,2,No,1,0.73,HIGH
35,Research & Development,Research Scientist,2022,10,Yes,2,0.73,HIGH
32,Sales,Sales Executive,4707,4,No,3,0.73,HIGH
25,Sales,Sales Executive,5744,6,Yes,3,0.73,HIGH
37,Research & Development,Manufacturing Director,10048,1,No,3,0.73,HIGH
34,Human Resources,Human Resources,2742,2,No,3,0.725,HIGH
23,Sales,Sales Representative,2275,3,Yes,4,0.725,HIGH
31,Research & Development,Manufacturing Director,7446,10,No,2,0.725,HIGH
32,Sales,Sales Executive,10400,14,No,4,0.725,HIGH
35,Research & Development,Laboratory Technician,2074,1,Yes,1,0.725,HIGH
31,Sales,Sales Executive,8161,1,No,3,0.725,HIGH
